SIGLA;DESCRICAO;NIVEL ENSINO;CH HORA RELOGIO;CH HORA AULA;CH QTD CREDITOS;ATIVO;SIGLA QACADEMICO;OBSERVACAO
LIC.0717;A mística como princípio educativo;Graduação;30;40;2;Sim;-;-
LIC.0118;Análise Combinatória e Probabilidade;Graduação;45;60;3;Sim;LIC.430.0012;Curso 01430
LIC.0601;Análise Combinatória e Probabilidade;Graduação;45;60;3;Sim;SUP.126;Curso 01430x
LIC.1120;Análise Combinatória e Probabilidade;Graduação;60;80;4;Sim;-;Curso 710
ESA.0014;Análise de Águas e Efluentes (90h);Graduação;90;120;6;Sim;-;-
TEC.0396;Análise de Alimentos(90H);Graduação;90;120;6;Sim;TEC.048.0032;Curso 03048
TEC.0761;Análise de custos da produção;Graduação;60;80;4;Sim;TEC.NCT.UT.0118;-
TEC.0170;Análise de Malware (NCT);Graduação;60;80;4;Sim;TEC.405.0031;-
TEC.1222;Análise de produtos naturais;Graduação;60;80;4;Sim;-;-
TEC.0366;Análise de Sistemas Agrícolas(60H);Graduação;60;80;4;Sim;TEC.805.0028;Curso 05805
TEC.0497;Análise de Sistemas de Potência(75H);Graduação;75;100;5;Sim;TEC.804.0008;Curso 06804
TEC.1228;Análise de solos;Graduação;60;80;4;Sim;-;-
TEC.0567;Analise de Solos e Resíduos Sólidos(60H);Graduação;60;80;4;Sim;TEC.304.0030;Curso 01304
LIC.0330;Análise e Elaboração de Materiais de E/LE;Graduação;60;80;4;Sim;LIC.603.0025;Curso 603
LIC.0538;Análise e Elaboração de Materiais de E/LE;Graduação;80;106;5;Sim;FOR.L090;Curso 603X
LIC.0954;Análise e Elaboração de Materiais Didáticos em Língua Espanhola;Graduação;60;80;4;Sim;-;-
TEC.1028;Análise e Projeto de Sistemas Web;Graduação;60;80;4;Sim;-;-
TEC.0021;Análise e Projeto Orientado a Objetos (Curso 404);Graduação;60;80;4;Sim;TEC.404.0009;Curso 404
TEC.0685;Análise e Projeto Orientados a Objetos;Graduação;60;80;4;Sim;TEC.806.0010;-
TEC.0876;Análise e Projeto Orientados a Objetos;Graduação;60;80;4;Sim;INF.S015;Curso 404X
ENG.0080;Análise Exergética de Processos Industriais;Graduação;60;80;4;Sim;-;-
TEC.1175;Análise Financeira;Graduação;30;40;2;Sim;-;-
LIC.0191;Análise Matemática I;Graduação;90;120;6;Sim;LIC.601.0026;Curso 601
LIC.0203;Análise Matemática II;Graduação;90;120;6;Sim;LIC.601.0027;Curso 601
TEC.0391;Análise microbiológica de Alimentos(60H);Graduação;60;80;4;Sim;TEC.048.0005;Curso 03048
LIC.0815;Análise Orgânica;Graduação;60;80;4;Sim;DIA/CN.027;-
LIC.0933;Análise Real;Graduação;60;80;4;Sim;-;matriz 324
TEC.0416;Análises de Água(30H);Graduação;30;40;2;Sim;TEC.048.0025;Curso 03048
LIC.1022;Análises de Águas e Efluentes I;Graduação;60;80;4;Sim;-;-
LIC.0990;Análises de Águas e Efluentes II;Graduação;60;80;4;Sim;-;-
TEC.0408;Análise Sensorial(30H);Graduação;30;40;2;Sim;TEC.048.0015;Curso 03048
LIC.0271;Anatomia Animal Comparada;Graduação;60;80;4;Sim;LIC.106.0006;Curso 106
TEC.0625;Antropofagia e Produção Cultural;Graduação;60;80;4;Sim;TEC.NCT.UT.0094;Curso 413
TEC.0360;Antropologia Cultural e Relações de Gênero na Agricultura Familiar(60H);Graduação;60;80;4;Sim;TEC.805.0026;Curso 05805
TEC.1080;Antropologia das Comunidades Tradicionais;Graduação;30;40;2;Sim;-;-
TEC.0867;Antropologia e Produção Cultural;Graduação;30;40;2;Sim;TEC.NCT.UT.0072;-
LIC.1089;Antropologia e Sociologia Rural;Graduação;30;40;2;Sim;-;-
LIC.0788;Antropologia filosófica;Graduação;30;40;2;Sim;-;Curso 710
LIC.0783;Antropologia Rural;Graduação;30;40;2;Sim;-;Curso 710
TEC.1084;Apicultura de Base Ecológica;Graduação;30;40;2;Sim;-;-
TEC.0334;Apicultura e Meliponicultura(60H);Graduação;60;80;4;Sim;TEC.805.0005;Curso 05805
TEC.0870;Aplicação do Plano de Negócio;Graduação;30;40;2;Sim;TEC.NCT.UT.0086;-
TEC.0075;Aplicações com Interfaces Ricas (NCT);Graduação;60;80;4;Sim;TEC.NCT.UT.0019;Curso 404
TEC.0683;Aplicações de Redes de Computadores;Graduação;60;80;4;Sim;TEC.806.0008;-
TEC.0877;Aplicações de Redes de Computadores;Graduação;45;60;3;Sim;INF.S013;Curso 404X
TEC.1032;Aplicações de Redes de Computadores;Graduação;30;40;2;Sim;-;-
ATV.0151;Apoio à Decisão;Graduação;60;80;4;Sim;-;-
TEC.0635;Apreciação Musical;Graduação;30;40;2;Sim;TEC.NCT.UT.0062;-
LIC.0775;A questão agrária no Brasil;Graduação;30;40;2;Sim;-;Curso 710
TEC.1103;Aquicultura;Graduação;30;40;2;Sim;-;-
TEC.0435;Argamassas e Concretos(60H);Graduação;60;80;4;Sim;TEC.102.0004;Curso 01102
ENG.0169;Armazenagem e Movimentação de Materiais;Graduação;60;80;4;Sim;-;-
TEC.0722;Armazenagem e Movimentação de Materiais;Graduação;60;80;4;Sim;TEC.809.0022;Curso 809
TEC.0404;Armazenamento e Logística(60H);Graduação;60;80;4;Sim;TEC.048.0014;Curso 03048
ENG.0084;Armazenamento e Transporte de Petróleo e Gás Natural;Graduação;60;80;4;Sim;-;-
TEC.0878;Arquitetura de Computadores;Graduação;45;60;3;Sim;INF.S009;Curso 404X
TEC.0017;Arquitetura de Computadores (Curso 404);Graduação;60;80;4;Sim;TEC.404.0005;Curso 404
TEC.0713;Arquitetura de Software;Graduação;60;80;4;Sim;TEC.NCT.UT.0080;-
TEC.0879;Arquitetura de Software;Graduação;60;80;4;Sim;INF.S021;Curso 404X
LIC.1026;Arquitetura de Software;Graduação;60;80;4;Sim;-;info
TEC.0025;Arquitetura de Software (Curso 404);Graduação;60;80;4;Sim;TEC.404.0014;Curso 404
LIC.1013;Arquitetura e Organização de Computadores;Graduação;60;80;4;Sim;-;-
TEC.0681;Arquitetura e Org. de Computadores;Graduação;60;80;4;Sim;TEC.806.0006;-
TEC.0257;Arquitetura TCP/IP(60H);Graduação;60;80;4;Sim;INF.S062;405x
TEC.0144;Arquitetura TCP/IP (NCT);Graduação;60;80;4;Sim;TEC.405.0004;-
LIC.0660;Arte, Cultura e Diversidade;Graduação;30;40;2;Sim;-;-
LIC.0146;Arte de Resolver Problemas;Graduação;60;80;4;Sim;LIC.430.0030;Curso 01430
LIC.0591;Arte de Resolver Problemas;Graduação;45;60;3;Sim;SUP.124;Curso 01430x
LIC.0331;Arte e Educação;Graduação;45;60;3;Sim;LIC.NDp.0019;-
LIC.0535;Arte e Educação;Graduação;30;40;2;Sim;-;-
LIC.0539;Arte e Educação;Graduação;40;53;2;Sim;FOR.L089;Curso 603X
LIC.0635;Arte e Educação;Graduação;40;53;2;Sim;FOR.L031;Curso 602x
LIC.0826;Arte e Educação;Graduação;60;80;4;Sim;-;Curso 15603
LIC.1077;Arte e Estética para a Educação do Campo;Graduação;30;40;2;Sim;-;-
LIC.1144;Astronomia e Astrofísica;Graduação;60;80;4;Sim;-;-
